,prompt,class,environment,weather,amount
1876,"

A single pedal boat in the coastal waters under foggy conditions.",pedal boat,coastal waters,foggy,Single
1877,Two pedal boats in the foggy coastal waters.,pedal boat,coastal waters,foggy,Two
1878,Three pedal boats in the foggy coastal waters.,pedal boat,coastal waters,foggy,Three
1879,"

Pedal boat in foggy coastal waters",pedal boat,coastal waters,foggy,Multiple
1880,"

A pedal boat in the coastal waters under windy conditions.",pedal boat,coastal waters,windy,Single
1881,Two pedal boats in the windy coastal waters.,pedal boat,coastal waters,windy,Two
1882,Three pedal boats in the windy coastal waters.,pedal boat,coastal waters,windy,Three
1883,"

Pedal boats scattered in the coastal waters under windy conditions.",pedal boat,coastal waters,windy,Multiple
1884,"

A clear day on the coastal waters. A red and white pedal boat gently bobbing on the tranquil water.",pedal boat,coastal waters,clear,Single
1885,Two pedal boats in the clear coastal waters.,pedal boat,coastal waters,clear,Two
1886,Three pedal boats in the clear coastal waters.,pedal boat,coastal waters,clear,Three
1887,"

Clear coastal waters, multiple pedal boats.",pedal boat,coastal waters,clear,Multiple
1888,"

A single pedal boat in the bay under a sunny sky.",pedal boat,bay,sunny,Single
1889,Two pedal boats in the bay under a sunny sky.,pedal boat,bay,sunny,Two
1890,Three pedal boats in the bay under a sunny sky.,pedal boat,bay,sunny,Three
1891,"

A sunny day in the bay with several pedal boats.",pedal boat,bay,sunny,Multiple
1892,"

A pedal boat in the bay under cloudy weather.",pedal boat,bay,cloudy,Single
1893,Two pedal boats in the bay under cloudy weather.,pedal boat,bay,cloudy,Two
1894,Three pedal boats in a bay with cloudy weather.,pedal boat,bay,cloudy,Three
1895,"

Cloudy bay with multiple pedal boats.",pedal boat,bay,cloudy,Multiple
1896,"

A single pedal boat in the bay during rainy weather.",pedal boat,bay,rainy,Single
1897,Two pedal boats in the bay during rainy weather.,pedal boat,bay,rainy,Two
1898,Three pedal boats in the bay during rainy weather.,pedal boat,bay,rainy,Three
1899,"

A pedal boat bobbing in the rain-soaked bay, ripples spreading outwards as raindrops patter against the water.",pedal boat,bay,rainy,Multiple
1900,Pedal boat in the bay amidst stormy weather.,pedal boat,bay,stormy,Single
1901,Two pedal boats in the bay amidst stormy weather.,pedal boat,bay,stormy,Two
1902,Three pedal boats in a bay during a storm.,pedal boat,bay,stormy,Three
1903,"

A pedal boat bobbing in the stormy bay, rain pelting its surface, whitecaps forming on the waves.",pedal boat,bay,stormy,Multiple
1904,"

A pedal boat in the bay, shrouded in snowfall.",pedal boat,bay,snowy,Single
1905,Two pedal boats in the bay under snowy weather.,pedal boat,bay,snowy,Two
1906,Three pedal boats in the bay under a snowy weather.,pedal boat,bay,snowy,Three
1907,"

A pedal boat bobbing on the snowy bay, surrounded by drifting white flakes.",pedal boat,bay,snowy,Multiple
1908,"

A single pedal boat in the foggy bay.",pedal boat,bay,foggy,Single
1909,Two pedal boats in the bay with foggy weather.,pedal boat,bay,foggy,Two
1910,Three pedal boats in the foggy bay.,pedal boat,bay,foggy,Three
1911,"

A pedal boat bobbing in the foggy bay, oars stilled by the thick mist.",pedal boat,bay,foggy,Multiple
1912,Pedal boat in the bay amidst windy weather.,pedal boat,bay,windy,Single
1913,Two pedal boats in the bay under windy conditions.,pedal boat,bay,windy,Two
1914,Three pedal boats in the bay under windy conditions.,pedal boat,bay,windy,Three
1915,"

A pedal boat bobbing in the bay amidst windy conditions.",pedal boat,bay,windy,Multiple
1916,"

Clear day in the bay, a red pedal boat with white trim floats gently on the water.",pedal boat,bay,clear,Single
1917,Two pedal boats in the bay with clear weather.,pedal boat,bay,clear,Two
1918,Three pedal boats in a clear bay.,pedal boat,bay,clear,Three
1919,"

Clear day in the bay, multiple pedal boats.",pedal boat,bay,clear,Multiple
1920,"

A single pedal boat in the clear, sunny gulf waters.",pedal boat,gulf,sunny,Single
1921,Two pedal boats in the Gulf under a sunny sky.,pedal boat,gulf,sunny,Two
1922,Three pedal boats in the Gulf under a sunny sky.,pedal boat,gulf,sunny,Three
1923,"

A sunny day in the Gulf. A red pedal boat bobbing gently on the clear waters. White sandy beach in the background. Palm trees swaying in the breeze. Blue skies overhead. Peaceful scene. Pedal",pedal boat,gulf,sunny,Multiple
1924,"

Pedal boat in the Gulf with cloudy weather.",pedal boat,gulf,cloudy,Single
1925,Two pedal boats in the gulf under cloudy weather.,pedal boat,gulf,cloudy,Two
1926,Three pedal boats in the gulf under cloudy weather.,pedal boat,gulf,cloudy,Three
1927,"

Cloudy gulf, a red pedal boat with white stripes drifts gently amidst the calm waters.",pedal boat,gulf,cloudy,Multiple
1928,"

A single pedal boat in the Gulf during a rainy day.",pedal boat,gulf,rainy,Single
1929,Two pedal boats in the gulf during rainy weather.,pedal boat,gulf,rainy,Two
1930,Three pedal boats in the Gulf during rainy weather.,pedal boat,gulf,rainy,Three
1931,"

A pedal boat in the gulf under a rainy sky.",pedal boat,gulf,rainy,Multiple
1932,"

A single pedal boat in the Gulf, weathered by stormy conditions.",pedal boat,gulf,stormy,Single
1933,Two pedal boats in the gulf during a storm.,pedal boat,gulf,stormy,Two
1934,Three pedal boats in the gulf during a storm.,pedal boat,gulf,stormy,Three
1935,"

A pedal boat in the gulf amidst stormy weather. Dark clouds loom overhead, rain pelts the water's surface, and waves crash against the boat's sides.",pedal boat,gulf,stormy,Multiple
1936,"

A single pedal boat on the Gulf, surrounded by a blanket of snow.",pedal boat,gulf,snowy,Single
1937,Two pedal boats in the gulf under snowy weather.,pedal boat,gulf,snowy,Two
1938,Three pedal boats in the gulf under snowy weather.,pedal boat,gulf,snowy,Three
1939,"

A pedal boat adrift in the gulf under a snowy sky.",pedal boat,gulf,snowy,Multiple
1940,"

A single pedal boat in the Gulf, surrounded by a thick layer of fog.",pedal boat,gulf,foggy,Single
1941,Two pedal boats in the gulf under foggy weather.,pedal boat,gulf,foggy,Two
1942,Three pedal boats in the gulf under foggy weather.,pedal boat,gulf,foggy,Three
1943,"

A pedal boat in the gulf under foggy weather.",pedal boat,gulf,foggy,Multiple
1944,"

A single pedal boat in the Gulf, battling against the windy conditions.",pedal boat,gulf,windy,Single
1945,Two pedal boats in the gulf under windy weather.,pedal boat,gulf,windy,Two
1946,Three pedal boats in the gulf under windy weather.,pedal boat,gulf,windy,Three
1947,"

A pedal boat in the gulf under windy weather.",pedal boat,gulf,windy,Multiple
1948,"

Clear day on the Gulf. A red pedal boat with white trim floats gently on the tranquil water.",pedal boat,gulf,clear,Single
1949,Two pedal boats in the clear gulf.,pedal boat,gulf,clear,Two
1950,Three pedal boats in the clear gulf water.,pedal boat,gulf,clear,Three
1951,"

Clear day in the Gulf. A group of three pedal boats gliding smoothly on the tranquil water.",pedal boat,gulf,clear,Multiple
1952,"

A single pedal boat in the estuary under a sunny sky.",pedal boat,estuary,sunny,Single
1953,Two pedal boats in the estuary under a sunny sky.,pedal boat,estuary,sunny,Two
1954,Three pedal boats in an estuary under a sunny sky.,pedal boat,estuary,sunny,Three
1955,"

A sunny day in the estuary. Several pedal boats bobbing gently on the water.",pedal boat,estuary,sunny,Multiple
1956,"

Pedal boat in the estuary under overcast sky.",pedal boat,estuary,cloudy,Single
1957,Two pedal boats in the estuary under cloudy weather.,pedal boat,estuary,cloudy,Two
1958,Three pedal boats in an estuary under cloudy weather.,pedal boat,estuary,cloudy,Three
1959,"

Cloudy estuary, multiple pedal boats.",pedal boat,estuary,cloudy,Multiple
1960,"

A single pedal boat in the estuary during rainy weather.",pedal boat,estuary,rainy,Single
1961,Two pedal boats in the estuary during rainy weather.,pedal boat,estuary,rainy,Two
1962,Three pedal boats in an estuary during rainy weather.,pedal boat,estuary,rainy,Three
1963,"

A pedal boat in the estuary during a rainy day.",pedal boat,estuary,rainy,Multiple
1964,"

A single pedal boat in the estuary during a stormy weather.",pedal boat,estuary,stormy,Single
1965,Two pedal boats in the estuary during a storm.,pedal boat,estuary,stormy,Two
1966,Three pedal boats in the estuary during a storm.,pedal boat,estuary,stormy,Three
1967,"

A pedal boat bobbing in the stormy estuary, waves crashing against its sides.",pedal boat,estuary,stormy,Multiple
1968,"

A single pedal boat in the estuary amidst snowfall.",pedal boat,estuary,snowy,Single
1969,Two pedal boats in the estuary under snowy weather.,pedal boat,estuary,snowy,Two
1970,Three pedal boats in an estuary under snowy weather.,pedal boat,estuary,snowy,Three
1971,"

A pedal boat bobbing on an estuary, shrouded in a thick blanket of snow.",pedal boat,estuary,snowy,Multiple
1972,"

A single pedal boat in the estuary amidst foggy conditions.",pedal boat,estuary,foggy,Single
1973,Two pedal boats in the estuary under foggy conditions.,pedal boat,estuary,foggy,Two
1974,Three pedal boats in the estuary shrouded by fog.,pedal boat,estuary,foggy,Three
1975,"

A pedal boat in the estuary shrouded by fog.",pedal boat,estuary,foggy,Multiple
1976,"

A single pedal boat in the estuary amidst windy conditions.",pedal boat,estuary,windy,Single
1977,Two pedal boats in the estuary on a windy day.,pedal boat,estuary,windy,Two
1978,Three pedal boats in an estuary during windy weather.,pedal boat,estuary,windy,Three
1979,"

Pedal boats scattered in an estuary, weathered by windy conditions.",pedal boat,estuary,windy,Multiple
1980,"

Clear day on the estuary, a single pedal boat glides through the calm water.",pedal boat,estuary,clear,Single
1981,Two pedal boats in the estuary under clear skies.,pedal boat,estuary,clear,Two
1982,Three pedal boats in an estuary under clear skies.,pedal boat,estuary,clear,Three
1983,"

Clear day in the estuary, multiple pedal boats.",pedal boat,estuary,clear,Multiple
1984,"

A single pedal boat on a sunny river.",pedal boat,river,sunny,Single
1985,Two pedal boats on a river under a sunny sky.,pedal boat,river,sunny,Two
1986,Three pedal boats on a sunny river.,pedal boat,river,sunny,Three
1987,"

A sunny day on the river with several pedal boats.",pedal boat,river,sunny,Multiple
1988,"

Pedal boat on a cloudy river.",pedal boat,river,cloudy,Single
1989,Two pedal boats on a cloudy river.,pedal boat,river,cloudy,Two
1990,Three pedal boats on a cloudy river.,pedal boat,river,cloudy,Three
1991,"

Cloudy river with several pedal boats.",pedal boat,river,cloudy,Multiple
1992,"

A single pedal boat on a rainy river.",pedal boat,river,rainy,Single
1993,Two pedal boats in the river during rainy weather.,pedal boat,river,rainy,Two
1994,Three pedal boats on a rainy river.,pedal boat,river,rainy,Three
1995,"

A pedal boat on a rainy river, splashing through the puddles formed by the relentless downpour. The boat's bright colors are dulled by the gray sky, and the raindrops create a",pedal boat,river,rainy,Multiple
1996,"

A single pedal boat on a stormy river.",pedal boat,river,stormy,Single
1997,Two pedal boats in a stormy river.,pedal boat,river,stormy,Two
1998,Three pedal boats on a stormy river.,pedal boat,river,stormy,Three
1999,"

A pedal boat on a stormy river, rain pelting down, waves crashing against the sides.",pedal boat,river,stormy,Multiple
2000,"

A pedal boat on a snowy river, the water frozen in parts, the boat's paint glistening under the pale winter sun.",pedal boat,river,snowy,Single
2001,Two pedal boats on a snowy river.,pedal boat,river,snowy,Two
2002,Three pedal boats on a snowy river.,pedal boat,river,snowy,Three
2003,"

A pedal boat on a snowy river, the water frozen in parts, the air crisp and cold.",pedal boat,river,snowy,Multiple
2004,"

A single pedal boat on a foggy river.",pedal boat,river,foggy,Single
2005,Two pedal boats in a foggy river.,pedal boat,river,foggy,Two
2006,Three pedal boats on a foggy river.,pedal boat,river,foggy,Three
2007,"

A pedal boat gliding through a foggy river, the mist enveloping its form as it cuts through the still water.",pedal boat,river,foggy,Multiple
2008,"

A single pedal boat on a windy river.",pedal boat,river,windy,Single
2009,Two pedal boats on a winding river under a windy sky.,pedal boat,river,windy,Two
2010,Three pedal boats on a windy river.,pedal boat,river,windy,Three
2011,"

Pedal boat on a windy river, waves splashing against its sides.",pedal boat,river,windy,Multiple
2012,"

Clear day on a river, single pedal boat.",pedal boat,river,clear,Single
2013,Two pedal boats on a clear river.,pedal boat,river,clear,Two
2014,Three pedal boats on a clear river.,pedal boat,river,clear,Three
2015,"

Clear day on a river, multiple pedal boats.",pedal boat,river,clear,Multiple
2016,"

A single pedal boat on a sunny canal.",pedal boat,canal,sunny,Single
2017,Two pedal boats in a sunny canal.,pedal boat,canal,sunny,Two
2018,Three pedal boats on a sunlit canal.,pedal boat,canal,sunny,Three
2019,"

A sunny day on a canal. A red pedal boat gently bobbing on the water's surface. The sun casting long, golden reflections on the boat's hull. The calm water laps at the boat'",pedal boat,canal,sunny,Multiple
2020,"

A pedal boat on a cloudy canal.",pedal boat,canal,cloudy,Single
2021,Two pedal boats in a canal on a cloudy day.,pedal boat,canal,cloudy,Two
2022,Three pedal boats on a canal with an overcast sky.,pedal boat,canal,cloudy,Three
2023,"

Pedal boat on a cloudy canal.",pedal boat,canal,cloudy,Multiple
2024,"

A single pedal boat on a rain-soaked canal.",pedal boat,canal,rainy,Single
2025,Two pedal boats in a canal during rainy weather.,pedal boat,canal,rainy,Two
2026,Three pedal boats in a rainy canal.,pedal boat,canal,rainy,Three
2027,"

A pedal boat in the rain-soaked canal, water droplets cascading off its edges, ripples spreading outwards as rain pours down relentlessly.",pedal boat,canal,rainy,Multiple
2028,"

A single pedal boat on a stormy canal.",pedal boat,canal,stormy,Single
2029,Two pedal boats in a canal during a storm.,pedal boat,canal,stormy,Two
2030,Three pedal boats on a stormy canal.,pedal boat,canal,stormy,Three
2031,"

A pedal boat adrift on a stormy canal, rain pelting down, waves crashing against its sides.",pedal boat,canal,stormy,Multiple
2032,"

A pedal boat on a snow-covered canal.",pedal boat,canal,snowy,Single
2033,Two pedal boats on a snowy canal.,pedal boat,canal,snowy,Two
2034,Three pedal boats on a snowy canal.,pedal boat,canal,snowy,Three
2035,"

A pedal boat adrift on a snow-covered canal, surrounded by frozen trees and ice formations.",pedal boat,canal,snowy,Multiple
2036,"

A pedal boat gliding through a foggy canal.",pedal boat,canal,foggy,Single
2037,Two pedal boats in a foggy canal.,pedal boat,canal,foggy,Two
2038,Three pedal boats on a foggy canal.,pedal boat,canal,foggy,Three
2039,"

A pedal boat gliding through a foggy canal, the mist enveloping its form as it cuts through the still water.",pedal boat,canal,foggy,Multiple
2040,"

A pedal boat on a windy canal.",pedal boat,canal,windy,Single
2041,Two pedal boats in a canal on a windy day.,pedal boat,canal,windy,Two
2042,Three pedal boats on a windy canal.,pedal boat,canal,windy,Three
2043,"

A pedal boat bobbing on a windy canal, oars flailing as the boat is tossed by the gusts. Water spraying high into the air as the wind whips through the narrow waterway. The boat'",pedal boat,canal,windy,Multiple
2044,"Clear day on a canal, single pedal boat.",pedal boat,canal,clear,Single
2045,Two pedal boats in a clear canal.,pedal boat,canal,clear,Two
2046,Three pedal boats on a tranquil canal under a clear sky.,pedal boat,canal,clear,Three
2047,"

Clear day on a canal, multiple pedal boats.",pedal boat,canal,clear,Multiple
2048,"

A serene pedal boat gliding on the tranquil, sun-kissed lake.",pedal boat,lake,sunny,Single
2049,Two pedal boats on a tranquil lake under a sunny sky.,pedal boat,lake,sunny,Two
2050,Three pedal boats on a tranquil lake under a sunny sky.,pedal boat,lake,sunny,Three
2051,"

A sunny day on the lake with several pedal boats scattered across the water.",pedal boat,lake,sunny,Multiple
2052,"

A pedal boat on a cloudy lake.",pedal boat,lake,cloudy,Single
2053,Two pedal boats on a cloudy lake.,pedal boat,lake,cloudy,Two
2054,Three pedal boats on a cloudy lake.,pedal boat,lake,cloudy,Three
2055,"

Cloudy day on a lake with several pedal boats.",pedal boat,lake,cloudy,Multiple
2056,"

A pedal boat on a rain-soaked lake, splashing through puddles as droplets patter against the hull.",pedal boat,lake,rainy,Single
2057,Two pedal boats in the rainy lake.,pedal boat,lake,rainy,Two
2058,Three pedal boats on a rainy lake.,pedal boat,lake,rainy,Three
2059,"

A pedal boat on a rain-soaked lake, splashing through puddles as droplets pelt down, creating ripples in the water.",pedal boat,lake,rainy,Multiple
2060,"

A solitary pedal boat on a stormy lake, rain pelting down, waves crashing against its sides.",pedal boat,lake,stormy,Single
2061,Two pedal boats on a stormy lake.,pedal boat,lake,stormy,Two
2062,Three pedal boats on a stormy lake.,pedal boat,lake,stormy,Three
2063,"

A pedal boat on a stormy lake, rain pelting down, waves crashing against the sides.",pedal boat,lake,stormy,Multiple
2064,"

A serene pedal boat glides across a tranquil lake, its reflection shimmering under the heavy, snow-laden sky. The gentle ripples caused by the boat's movement spread outwards, distorting",pedal boat,lake,snowy,Single
2065,Two pedal boats on a snowy lake.,pedal boat,lake,snowy,Two
2066,Three pedal boats on a snowy lake.,pedal boat,lake,snowy,Three
2067,"

A pedal boat on a snow-covered lake, surrounded by frozen trees and icicles hanging from the branches.",pedal boat,lake,snowy,Multiple
2068,"

A solitary pedal boat glides through the foggy lake, its paddles cutting through the mist with a soft, muted sound. The boat's paint is speckled with droplets of water, shimmer",pedal boat,lake,foggy,Single
2069,Two pedal boats on a foggy lake.,pedal boat,lake,foggy,Two
2070,Three pedal boats on a foggy lake.,pedal boat,lake,foggy,Three
2071,"

A pedal boat on the lake in the foggy weather.",pedal boat,lake,foggy,Multiple
2072,"

A pedal boat on a windy lake, whitecaps forming on the water's surface.",pedal boat,lake,windy,Single
2073,Two pedal boats on a windy lake.,pedal boat,lake,windy,Two
2074,Three pedal boats on a windy lake.,pedal boat,lake,windy,Three
2075,"

A pedal boat on a windy lake, waves crashing against its sides.",pedal boat,lake,windy,Multiple
2076,"Clear day on a lake, a red pedal boat.",pedal boat,lake,clear,Single
2077,Two pedal boats on a clear lake.,pedal boat,lake,clear,Two
2078,Three pedal boats on a clear lake.,pedal boat,lake,clear,Three
2079,"

Clear day on a serene lake. Several pedal boats gliding gently on the water.",pedal boat,lake,clear,Multiple
2080,"

A single pedal boat in the tranquil lagoon under a sunny sky.",pedal boat,lagoon,sunny,Single
2081,Two pedal boats in a sunny lagoon.,pedal boat,lagoon,sunny,Two
2082,Three pedal boats in a sunny lagoon.,pedal boat,lagoon,sunny,Three
2083,"

A sunny day in the lagoon with multiple pedal boats.",pedal boat,lagoon,sunny,Multiple
2084,"

A single pedal boat in the cloudy lagoon.",pedal boat,lagoon,cloudy,Single
2085,Two pedal boats in a lagoon under cloudy weather.,pedal boat,lagoon,cloudy,Two
2086,Three pedal boats in a lagoon under cloudy weather.,pedal boat,lagoon,cloudy,Three
2087,"

Cloudy lagoon with several pedal boats.",pedal boat,lagoon,cloudy,Multiple
2088,"

A single pedal boat in the rain-soaked lagoon.",pedal boat,lagoon,rainy,Single
2089,Two pedal boats in a lagoon during rainy weather.,pedal boat,lagoon,rainy,Two
2090,Three pedal boats in a lagoon during rainy weather.,pedal boat,lagoon,rainy,Three
2091,"

A pedal boat in the lagoon under a rainy sky.",pedal boat,lagoon,rainy,Multiple
2092,"

A single pedal boat in the stormy lagoon.",pedal boat,lagoon,stormy,Single
2093,Two pedal boats in a lagoon during a storm.,pedal boat,lagoon,stormy,Two
2094,Three pedal boats in a lagoon during a storm.,pedal boat,lagoon,stormy,Three
2095,"

A pedal boat bobbing in the stormy lagoon, rain pelting its surface, waves crashing against its sides.",pedal boat,lagoon,stormy,Multiple
2096,"

A pedal boat in the tranquil lagoon, surrounded by snow-covered banks and icy water.",pedal boat,lagoon,snowy,Single
2097,Two pedal boats in a lagoon under snowy weather.,pedal boat,lagoon,snowy,Two
2098,Three pedal boats in a lagoon under a snowy sky.,pedal boat,lagoon,snowy,Three
2099,"

A pedal boat bobbing on a snow-dusted lagoon.",pedal boat,lagoon,snowy,Multiple
2100,"

A single pedal boat in the foggy lagoon.",pedal boat,lagoon,foggy,Single
2101,Two pedal boats in a lagoon shrouded in fog.,pedal boat,lagoon,foggy,Two
2102,Three pedal boats in a lagoon shrouded in fog.,pedal boat,lagoon,foggy,Three
2103,"

A pedal boat bobbing on a foggy lagoon.",pedal boat,lagoon,foggy,Multiple
2104,"

A single pedal boat in the lagoon under windy conditions.",pedal boat,lagoon,windy,Single
2105,Two pedal boats in a lagoon under windy weather.,pedal boat,lagoon,windy,Two
2106,Three pedal boats in a lagoon under windy weather.,pedal boat,lagoon,windy,Three
2107,"

A pedal boat bobbing on a windy lagoon, waves splashing against its sides.",pedal boat,lagoon,windy,Multiple
2108,Clear day. A single pedal boat in the lagoon.,pedal boat,lagoon,clear,Single
2109,Two pedal boats in a tranquil lagoon under clear skies.,pedal boat,lagoon,clear,Two
2110,Three pedal boats in a tranquil lagoon under a clear sky.,pedal boat,lagoon,clear,Three
2111,"

Clear day in a lagoon, multiple pedal boats.",pedal boat,lagoon,clear,Multiple
2112,"

A single pedal boat in the fjord under a sunny sky.",pedal boat,fjord,sunny,Single
2113,Two pedal boats in the fjord under a sunny sky.,pedal boat,fjord,sunny,Two
2114,Three pedal boats in a sunny fjord.,pedal boat,fjord,sunny,Three
2115,"

A sunny day on the fjord with a red pedal boat anchored in the clear water.",pedal boat,fjord,sunny,Multiple
2116,"

Pedal boat in a fjord under cloudy weather.",pedal boat,fjord,cloudy,Single
2117,Two pedal boats in a fjord under cloudy weather.,pedal boat,fjord,cloudy,Two
2118,Three pedal boats in a fjord under cloudy weather.,pedal boat,fjord,cloudy,Three
2119,"

Cloudy day in the fjord with several pedal boats.",pedal boat,fjord,cloudy,Multiple
2120,"

A single pedal boat in the rainy fjord.",pedal boat,fjord,rainy,Single
2121,Two pedal boats in a fjord during rainy weather.,pedal boat,fjord,rainy,Two
2122,Three pedal boats in a fjord during rainy weather.,pedal boat,fjord,rainy,Three
2123,"

A pedal boat in the fjord during rainy weather.",pedal boat,fjord,rainy,Multiple
2124,"

A single pedal boat in the stormy fjord.",pedal boat,fjord,stormy,Single
2125,Two pedal boats in the stormy fjord.,pedal boat,fjord,stormy,Two
2126,Three pedal boats in a fjord during a storm.,pedal boat,fjord,stormy,Three
2127,"

A pedal boat in the stormy fjord, waves crashing against its sides.",pedal boat,fjord,stormy,Multiple
2128,"

A pedal boat in the snowy fjord.",pedal boat,fjord,snowy,Single
2129,Two pedal boats in a fjord under snowy weather.,pedal boat,fjord,snowy,Two
2130,Three pedal boats in a fjord under snowy weather.,pedal boat,fjord,snowy,Three
2131,"

A pedal boat in the snowy fjord, surrounded by ice floes.",pedal boat,fjord,snowy,Multiple
2132,"

A single pedal boat in the foggy fjord.",pedal boat,fjord,foggy,Single
2133,Two pedal boats in the fjord under foggy weather.,pedal boat,fjord,foggy,Two
2134,Three pedal boats in the fjord under foggy weather.,pedal boat,fjord,foggy,Three
2135,"

A pedal boat in the foggy fjord.",pedal boat,fjord,foggy,Multiple
2136,"

A single pedal boat in the fjord amidst windy conditions.",pedal boat,fjord,windy,Single
2137,Two pedal boats in the fjord during windy weather.,pedal boat,fjord,windy,Two
2138,Three pedal boats in a fjord during windy weather.,pedal boat,fjord,windy,Three
2139,"

A pedal boat in the fjord amidst windy conditions.",pedal boat,fjord,windy,Multiple
2140,"

Clear day in the fjord. Single pedal boat.",pedal boat,fjord,clear,Single
2141,Two pedal boats in a clear fjord.,pedal boat,fjord,clear,Two
2142,Three pedal boats in a clear fjord.,pedal boat,fjord,clear,Three
2143,"

Clear day in the fjord. Several pedal boats gliding on the calm water.",pedal boat,fjord,clear,Multiple
2144,"

A single pedal boat in the sunny delta.",pedal boat,delta,sunny,Single
2145,Two pedal boats in the sunny delta.,pedal boat,delta,sunny,Two
2146,Three pedal boats in the sunny delta.,pedal boat,delta,sunny,Three
2147,"

A sunny day in the delta with a group of three pedal boats.",pedal boat,delta,sunny,Multiple
2148,"

Pedal boat in the delta under cloudy weather.",pedal boat,delta,cloudy,Single
2149,Two pedal boats in the cloudy delta.,pedal boat,delta,cloudy,Two
2150,Three pedal boats in the cloudy delta.,pedal boat,delta,cloudy,Three
2151,"

Cloudy day in the delta with a line of pedal boats in the water.",pedal boat,delta,cloudy,Multiple
2152,"

A single pedal boat in the delta under a rainy sky.",pedal boat,delta,rainy,Single
2153,Two pedal boats in the delta under rainy weather.,pedal boat,delta,rainy,Two
2154,Three pedal boats in the delta under rainy weather.,pedal boat,delta,rainy,Three
2155,"

A pedal boat in the delta under a rainy sky. The water reflects the grey clouds above, rippling gently as raindrops splash against the hull. The paddles are still, the boat motionless in the",pedal boat,delta,rainy,Multiple
2156,"

A single pedal boat in the delta amidst stormy weather.",pedal boat,delta,stormy,Single
2157,Two pedal boats in the delta during a storm.,pedal boat,delta,stormy,Two
2158,Three pedal boats in the delta during a storm.,pedal boat,delta,stormy,Three
2159,"

A pedal boat adrift in the delta, weathered by stormy conditions. Rain pelted against the boat's surface, waves crashed against its sides. The once calm waters now churned with turbulence. The",pedal boat,delta,stormy,Multiple
2160,"

A pedal boat in the delta under a snowy sky.",pedal boat,delta,snowy,Single
2161,Two pedal boats in the delta under snowy weather.,pedal boat,delta,snowy,Two
2162,Three pedal boats in the delta under snowy weather.,pedal boat,delta,snowy,Three
2163,"

A pedal boat adrift in the snowy delta, surrounded by icy water and frozen reeds.",pedal boat,delta,snowy,Multiple
2164,"

A single pedal boat in the foggy delta.",pedal boat,delta,foggy,Single
2165,Two pedal boats in the foggy delta.,pedal boat,delta,foggy,Two
2166,Three pedal boats in the foggy delta.,pedal boat,delta,foggy,Three
2167,"

A pedal boat in the foggy delta, shrouded in mist.",pedal boat,delta,foggy,Multiple
2168,"

A pedal boat in the delta amidst windy conditions.",pedal boat,delta,windy,Single
2169,Two pedal boats in the delta under windy conditions.,pedal boat,delta,windy,Two
2170,Three pedal boats in the delta under windy conditions.,pedal boat,delta,windy,Three
2171,"

A pedal boat anchored in the delta, weathered by windy conditions. The water surface ripples and churns, whitecaps forming in the distance. The boat's bright colors are dulled by the grime of",pedal boat,delta,windy,Multiple
2172,"

Clear day in the delta, single pedal boat on the calm water.",pedal boat,delta,clear,Single
2173,Two pedal boats in the delta with clear weather.,pedal boat,delta,clear,Two
2174,Three pedal boats in the clear delta water.,pedal boat,delta,clear,Three
2175,"

Clear day in the delta with a group of pedal boats.",pedal boat,delta,clear,Multiple
2176,"

A single pedal boat anchored in the clear blue water of an offshore platform area under a sunny sky.",pedal boat,offshore platform area,sunny,Single
2177,Two pedal boats in the offshore platform area on a sunny day.,pedal boat,offshore platform area,sunny,Two
2178,Three pedal boats in the offshore platform area on a sunny day.,pedal boat,offshore platform area,sunny,Three
2179,"

A sunny offshore platform area filled with multiple pedal boats.",pedal boat,offshore platform area,sunny,Multiple
2180,"

A pedal boat anchored in the offshore platform area during a cloudy day.",pedal boat,offshore platform area,cloudy,Single
2181,Two pedal boats in the offshore platform area during cloudy weather.,pedal boat,offshore platform area,cloudy,Two
2182,Three pedal boats in the offshore platform area during cloudy weather.,pedal boat,offshore platform area,cloudy,Three
2183,"

Cloudy offshore platform area with several pedal boats anchored.",pedal boat,offshore platform area,cloudy,Multiple
2184,Pedal boat in the offshore platform area during rainy weather.,pedal boat,offshore platform area,rainy,Single
2185,Two pedal boats in the offshore platform area during rainy weather.,pedal boat,offshore platform area,rainy,Two
2186,Three pedal boats in the offshore platform area during rainy weather.,pedal boat,offshore platform area,rainy,Three
2187,"

Pedal boats lined up on an offshore platform during a rainy day.",pedal boat,offshore platform area,rainy,Multiple
2188,Pedal boat in stormy offshore platform area.,pedal boat,offshore platform area,stormy,Single
2189,Two pedal boats in the offshore platform area during a storm.,pedal boat,offshore platform area,stormy,Two
2190,Three pedal boats in the offshore platform area during a storm.,pedal boat,offshore platform area,stormy,Three
2191,"

Pedal boats scattered in the offshore platform area during a stormy weather.",pedal boat,offshore platform area,stormy,Multiple
2192,A pedal boat in the offshore platform area during a snowstorm.,pedal boat,offshore platform area,snowy,Single
2193,Two pedal boats in the offshore platform area during a snowy weather.,pedal boat,offshore platform area,snowy,Two
2194,Three pedal boats in the offshore platform area during a snowstorm.,pedal boat,offshore platform area,snowy,Three
2195,"

Pedal boats lined up on an offshore platform amidst snowfall.",pedal boat,offshore platform area,snowy,Multiple
2196,"

A pedal boat anchored in the offshore platform area amidst foggy conditions.",pedal boat,offshore platform area,foggy,Single
